year,naics,usa_employment
2014,533000,35158
2014,540000,8128754
2014,541000,8128754
2014,550000,3195188
2014,551000,3195188
2014,560000,7808479
2014,561000,7449434
2014,562000,367178
2014,610000,3505734
2014,611000,3505734
2014,620000,18032242
2014,621000,6495028
2014,622000,5657075
2014,623000,3195290
2014,624000,2807453
2014,710000,2114722
2014,711000,477614
2014,712000,143715
2014,713000,1506533
2014,720000,12315530
2014,721000,1899230
2014,722000,10426783
2014,810000,5148197
2014,811000,1172535
2014,812000,1336878
2014,813000,2640655
2014,990000,21722
